mirID 	youngRep1_AS_ZT0	youngRep1_AS_ZT4	youngRep1_AS_ZT8	youngRep1_AS_ZT12	youngRep1_AS_ZT16	youngRep1_AS_ZT20	youngRep2_AS_ZT0	youngRep2_AS_ZT4	youngRep2_AS_ZT8	youngRep2_AS_ZT12	youngRep2_AS_ZT16	youngRep2_AS_ZT20	oldRep1_AS_ZT0	oldRep1_AS_ZT4	oldRep1_AS_ZT8	oldRep1_AS_ZT12	oldRep1_AS_ZT16	oldRep1_AS_ZT20	oldRep2_AS_ZT0	oldRep2_AS_ZT4	oldRep2_AS_ZT8	oldRep2_AS_ZT12	oldRep2_AS_ZT16	oldRep2_AS_ZT20
dme-miR-995-3p_MIMAT0005514 	63575.0 	110848.5 	115021.055556 	103990.0 	124316.333333 	119599.0 	102780.666667 	139798.388889 	143188.333333 	110222.722222 	90706.3333333 	110821.333333 	116245.333333 	113710.666667 	96329.3333333 	126797.666667 	125999.333333 	119117.666667 	114608.666667 	117968.385965 	105785.719298 	140618.555556 	95500.0555556 	93408.0 
dme-miR-1011-3p_MIMAT0005024 	47.0 	121.0 	107.0 	120.0 	125.0 	146.0 	101.0 	135.0 	141.0 	102.0 	95.0 	110.0 	80.0 	85.0 	69.0 	85.0 	102.0 	95.0 	82.0 	87.0 	87.0 	127.0 	90.0 	52.0 
dme-miR-4951-5p_MIMAT0020164 	378.0 	1032.0 	1082.0 	876.0 	1007.0 	1094.0 	1000.0 	1041.0 	1176.0 	956.0 	848.0 	1064.0 	694.0 	678.0 	696.0 	808.0 	651.0 	810.0 	780.0 	848.0 	695.0 	863.0 	686.0 	543.0 
dme-miR-4951-3p_MIMAT0020165 	6.0 	4.0 	1.0 	5.0 	5.0 	3.0 	7.0 	9.0 	12.0 	10.0 	5.0 	1.0 	2.33333333333 	0.0 	1.0 	3.0 	7.0 	4.0 	4.0 	1.0 	0.0 	4.0 	1.0 	2.0 
dme-miR-998-3p_MIMAT0005518 	3875.0 	2469.0 	1608.5 	909.0 	1428.0 	1134.5 	1083.0 	2250.0 	2010.0 	1132.0 	873.0 	1112.0 	827.0 	748.0 	568.0 	767.5 	1053.0 	684.5 	780.0 	627.5 	603.0 	632.5 	375.5 	596.0 
dme-miR-998-5p_MIMAT0020898 	3840.0 	12569.0 	9834.5 	8284.0 	11799.0 	11241.5 	9965.5 	11070.5 	12784.0 	11007.0 	11884.0 	11287.0 	5544.0 	4055.5 	4956.5 	5199.5 	4526.0 	6858.5 	4985.0 	6543.5 	4358.5 	7530.0 	4759.0 	4163.5 
dme-miR-11-3p_MIMAT0000116 	450430.5 	884456.0 	756794.5 	558668.0 	928814.333333 	825739.5 	735193.5 	898241.0 	912217.333333 	826124.833333 	657353.333333 	840904.0 	734400.0 	597632.0 	557164.833333 	580918.833333 	488670.333333 	697624.833333 	575176.0 	737525.5 	549274.5 	813940.0 	471031.666667 	525314.833333 
dme-miR-11-5p_MIMAT0020793 	45417.0 	54108.0 	51145.0 	43320.0 	59425.5 	53942.0 	46699.0 	59807.5 	56244.0 	50989.0 	39515.0 	51006.5 	45329.0 	38750.0 	32998.5 	42484.5 	39598.0 	34422.5 	38320.5 	41885.0 	35508.0 	43369.0 	26626.0 	34682.5 
dme-miR-999-3p_MIMAT0005519 	803006.5 	1511416.5 	1299006.0 	1355240.5 	1228340.5 	1318504.5 	1151951.0 	1240412.5 	1251954.0 	1236537.0 	1007652.5 	1253238.5 	714798.0 	781656.5 	587996.5 	828155.0 	725296.0 	809729.5 	736608.0 	900802.5 	747820.5 	1084105.5 	780919.0 	598731.0 
dme-miR-999-5p_MIMAT0020899 	3.0 	17.0 	16.0 	11.0 	21.0 	30.0 	24.0 	13.0 	28.0 	19.0 	13.0 	15.0 	12.0 	13.0 	10.0 	21.0 	15.0 	21.0 	11.0 	26.0 	8.0 	17.0 	13.0 	12.0 
dme-miR-4969-5p_MIMAT0020195 	55.0 	125.0 	144.0 	117.0 	141.0 	146.0 	205.0 	216.0 	186.0 	163.0 	139.0 	163.0 	100.0 	80.0 	90.0 	120.0 	115.0 	79.0 	126.0 	88.0 	85.5 	110.0 	85.0 	89.0 
dme-miR-4969-3p_MIMAT0020196 	0.0 	2.0 	0.0 	1.0 	0.0 	4.0 	3.0 	4.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-1010-3p_MIMAT0005023 	13955.1666667 	26425.3333333 	20356.3333333 	17846.3333333 	18450.0 	17463.6666667 	17083.0 	21323.5 	19521.6666667 	16773.6666667 	13770.1666667 	16722.0 	13498.8333333 	15026.3333333 	10499.3333333 	19473.8333333 	20228.5 	16660.5 	12102.1666667 	15043.5 	11516.0 	20150.6666667 	12972.0 	11782.8333333 
dme-miR-1010-5p_MIMAT0020905 	110.0 	323.0 	369.0 	343.0 	509.0 	461.0 	436.0 	440.0 	477.0 	407.0 	358.0 	451.0 	256.5 	163.5 	181.0 	250.0 	265.0 	216.5 	244.0 	192.0 	207.0 	249.5 	154.0 	150.0 
