"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison"
"dme-miR-308-3p_MIMAT0000399",2655.84549111732,1.8209893737497,0.28710361732704,6.34262079559731,2.25888963985389e-10,1.55277085799035e-08,"age_old_vs_young"
"dme-miR-308-5p_MIMAT0020833",2698.32641756306,1.02479807373848,0.304458209661958,3.36597286989345,0.000762742097781076,0.0056512255426507,"age_old_vs_young"
"dme-miR-278-5p_MIMAT0020805",24496.808699684,-1.37309192338826,0.482331736779679,-2.84677913287607,0.00441639919174181,0.0221499405616589,"age_old_vs_young"
"dme-miR-990-5p_MIMAT0005508",6622.61327900306,-1.42217360107801,0.246056022465965,-5.77987722805983,7.47551574012708e-09,3.04627266410179e-07,"age_old_vs_young"
"dme-miR-31a-5p_MIMAT0000400",87215.2270654946,-1.1577154183359,0.300950487051169,-3.84686341490806,0.000119639620420202,0.00139294700917806,"age_old_vs_young"
"dme-miR-311-3p_MIMAT0000403",244.129330716138,2.82652468788857,0.555009209527018,5.0927527676475,3.52901756824808e-07,1.04587247931716e-05,"age_old_vs_young"
"dme-miR-312-3p_MIMAT0000404",838.312042463269,1.81002408108421,0.508658795518357,3.55842481646203,0.000373085549655126,0.00328718619425868,"age_old_vs_young"
"dme-miR-7-5p_MIMAT0000112",22586.8943208692,-1.4453409590503,0.358535736690062,-4.03123262521451,5.54850926156392e-05,0.000723525607707934,"age_old_vs_young"
"dme-miR-955-5p_MIMAT0005466",15.5315336833237,-3.2085117134917,0.843247069471463,-3.80494854906849,0.000141833669711298,0.00153073361865318,"age_old_vs_young"
"dme-miR-190-5p_MIMAT0005467",38874.7837850486,-1.01491025902344,0.267185454214335,-3.79852362101,0.000145560558828984,0.00153073361865318,"age_old_vs_young"
"dme-miR-4940-5p_MIMAT0020146",236.918824197066,-0.91781091369892,0.237345854265976,-3.86697680706231,0.000110192903149146,0.00133047727506006,"age_old_vs_young"
