mirID	logFC	unshrunk.logFC	logCPM	PValue
dme-miR-966-3p_MIMAT0020862 	48.344962481934	48.6846745894862	-2.84265290681233	2.91356361182371e-33
dme-miR-932-5p_MIMAT0005479 	21.219735766282	21.2197603310783	9.32401884402476	2.86878365694639e-37
dme-miR-932-3p_MIMAT0020860 	27.3585737598423	27.3587846740701	6.28690532506729	1.54412978477351e-43
dme-miR-275-3p_MIMAT0000333 	22.3173920430875	22.3174284909862	8.7949983736265	2.34913891446534e-34
dme-miR-275-5p_MIMAT0020801 	25.3546484289492	25.3547513713601	7.25542235623432	3.20921854863648e-39
dme-miR-305-5p_MIMAT0000391 	17.1010223612604	17.1010282455917	11.3867645695809	1.99987962909613e-39
dme-miR-305-3p_MIMAT0020827 	15.2220687556397	15.2220718128582	12.3280908986111	4.27529461222935e-33
dme-miR-4984-5p_MIMAT0020219 	52.0043843704562	53.7353052673149	-3.34762007320905	1.87710463125388e-36
dme-miR-4984-3p_MIMAT0020220 	41.952233973957	41.9854931037368	-0.802097687804474	4.5128641231562e-37
dme-miR-2b-3p_MIMAT0000107 	19.9656650882366	19.9656809627308	9.94913165879408	3.74675897978918e-42
dme-miR-2b-1-5p_MIMAT0020782 	31.8642622653037	31.8652750540246	4.05104584860244	5.0471945078902e-43
dme-miR-87-3p_MIMAT0000361 	31.9318041357194	31.9328181419757	3.98568352234418	9.57016141440073e-43
dme-miR-87-5p_MIMAT0020821 	34.3075282976367	34.3098207355728	2.79735089954194	3.51693477147303e-36
dme-miR-4970-5p_MIMAT0020197 	53.7282612007113	144269531.208974	-3.46192694847456	1.12566892974611e-25
dme-miR-9378-5p_MIMAT0035219 	34.22947946485	34.2317174072357	2.83585305261153	1.19908091235835e-42
dme-miR-9378-3p_MIMAT0035220 	51.7886327635478	53.0682001437554	-3.34979004816612	1.26681823978344e-36
dme-miR-4987-5p_MIMAT0020225 	48.0853273633845	48.3738037606112	-2.8382958079934	8.86296039566681e-31
dme-miR-4987-3p_MIMAT0020226 	46.1785039433719	46.3233668350176	-2.3547323933865	1.82261800299494e-32
dme-miR-263a-5p_MIMAT0000319 	9.60121091382734	9.60121132060129	15.1316442108902	3.13514789475952e-20
dme-miR-263a-3p_MIMAT0020799 	28.3346566307089	28.3349540926089	5.80783060400295	7.26716484835315e-36
dme-miR-967-5p_MIMAT0005482 	37.5149079664833	37.5218899671603	1.22548563647229	1.12504497766689e-39
dme-miR-967-3p_MIMAT0020863 	43.3869601280859	43.441233575465	-1.393301795612	1.10739118136699e-31
dme-miR-9382-5p_MIMAT0035227 	43.3986232170963	43.4548661815467	-1.3817701659512	1.96601994137647e-31
dme-miR-9382-3p_MIMAT0035228 	48.5810666518214	48.9217470475066	-2.93774555015955	4.7673863997817e-33
dme-miR-2489-3p_MIMAT0012196 	34.3399016301475	34.3423645250477	2.86705793527047	4.39045096664621e-43
